#--------------------------------------------------------------------------------
# Auto-generated by LiteX (2ad18a345) on 2026-08-17 04:02:18
#--------------------------------------------------------------------------------
csr_base,ctrl,0x82000000,,
csr_base,identifier_mem,0x82000800,,
csr_base,leds,0x82001000,,
csr_base,timer0,0x82001800,,
csr_base,uart,0x82002000,,
csr_register,ctrl_reset,0x82000000,1,rw
csr_register,ctrl_scratch,0x82000004,1,rw
csr_register,ctrl_bus_errors,0x82000008,1,ro
csr_register,leds_out,0x82001000,1,rw
csr_register,timer0_load,0x82001800,1,rw
csr_register,timer0_reload,0x82001804,1,rw
csr_register,timer0_en,0x82001808,1,rw
csr_register,timer0_update_value,0x8200180c,1,rw
csr_register,timer0_value,0x82001810,1,ro
csr_register,timer0_ev_status,0x82001814,1,ro
csr_register,timer0_ev_pending,0x82001818,1,rw
csr_register,timer0_ev_enable,0x8200181c,1,rw
csr_register,uart_rxtx,0x82002000,1,rw
csr_register,uart_txfull,0x82002004,1,ro
csr_register,uart_rxempty,0x82002008,1,ro
csr_register,uart_ev_status,0x8200200c,1,ro
csr_register,uart_ev_pending,0x82002010,1,rw
csr_register,uart_ev_enable,0x82002014,1,rw
csr_register,uart_txempty,0x82002018,1,ro
csr_register,uart_rxfull,0x8200201c,1,ro
constant,config_platform_name,digilent_arty_s7,,
constant,config_clock_frequency,100000000,,
constant,config_cpu_reset_addr,0,,
constant,config_cpu_type_serv,None,,
constant,config_cpu_variant_standard,None,,
constant,config_cpu_family,riscv,,
constant,config_cpu_name,serv,,
constant,config_cpu_human_name,SERV,,
constant,config_cpu_nop,nop,,
constant,config_identifier,LiteX SoC on Arty S7 2026-08-17 04:02:18,,
constant,uart_polling,None,,
constant,config_csr_data_width,32,,
constant,config_csr_alignment,32,,
constant,config_csr_ordering_big,None,,
constant,config_bus_standard,wishbone,,
constant,config_bus_data_width,32,,
constant,config_bus_address_width,32,,
constant,config_bus_bursting,0,,
memory_region,rom,0x00000000,131072,cached
memory_region,sram,0x01000000,8192,cached
memory_region,main_ram,0x40000000,32768,cached
memory_region,csr,0x82000000,65536,io
